URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.99999980000004,0.042372880996839994,36.666666666666664,29.545454545454547,26.484848484848488,36.666666666666664,65,118,2.8389830508474576,1,7.838983050847458
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,7,0.17647057785467188,0.04271356773187546,27.02777777777778,17.78006166495375,17.92313577709261,27.02777777777778,173,398,2.562814070351759,7,6.8793969849246235
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.6666666111111158,0.07741935433922997,32.875,28.89733840304182,24.70893536121673,32.875,76,155,2.6258064516129034,1,7.251612903225807
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35294116608996573,0.0916442046047326,22.59259259259259,36.55737704918033,23.659987856709172,22.59259259259259,223,371,2.975741239892183,4,8.048517520215633
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,2,0,0.99999950000025,0.016806722547842667,24.0,25.925925925925924,19.97037037037037,24.0,56,119,2.7394957983193278,1,7.873949579831932
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,0,0.99999980000004,0.042372880996839994,36.666666666666664,29.545454545454547,26.484848484848488,36.666666666666664,65,118,2.8389830508474576,1,7.838983050847458
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,7,0.17647057785467188,0.04271356773187546,27.02777777777778,17.78006166495375,17.92313577709261,27.02777777777778,173,398,2.562814070351759,7,6.8793969849246235
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10,2,0.6666666111111158,0.07741935433922997,32.875,28.89733840304182,24.70893536121673,32.875,76,155,2.6258064516129034,1,7.251612903225807
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,11,0.35294116608996573,0.0916442046047326,22.59259259259259,36.55737704918033,23.659987856709172,22.59259259259259,223,371,2.975741239892183,4,8.048517520215633
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,21,0.4545454486422669,0.06672443668394762,19.36,33.52272727272727,21.15309090909091,19.36,649,1154,2.931542461005199,1,7.5441941074523395
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,18,6,0.4999999791666675,0.08304498241160906,23.818181818181817,33.969465648854964,23.115058986814713,23.818181818181817,178,289,3.1072664359861593,1,8.155709342560554
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,27,2,0.8620689357907263,0.07142857125263899,25.615384615384617,40.99099099099099,26.642550242550243,25.615384615384617,273,406,3.2192118226600983,6,8.47783251231527
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,20,5,0.599999976000001,0.1008064512064256,24.333333333333332,33.10502283105023,22.975342465753428,24.333333333333332,145,248,3.1088709677419355,4,9.15725806451613
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,13,5,0.4444444197530878,0.0708661414532829,29.266666666666666,33.25740318906606,25.009627942293093,29.266666666666666,146,254,3.078740157480315,5,8.440944881889763
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,61,16,0.5844155768257717,0.09254807681184125,21.727272727272727,33.40306834030684,22.052136427031826,21.727272727272727,479,832,2.9122596153846154,10,7.762019230769231
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,6,0,0.9999998333333611,0.030769230611439845,26.928571428571427,25.46419098143236,20.957104964001516,26.928571428571427,96,195,2.805128205128205,1,7.728205128205128
